url,headline,text
https://www.climatechangenews.com/2025/01/28/climate-change-helped-turn-la-into-dry-tinderbox-before-fires-scientists-find/,"Climate change helped turn LA into dry tinderbox before fires, scientists find","Thirty-two scientists working with the World Weather Attribution (WWA) group found that climate change – resulting in a world 1.3C hotter than pre-industrial times – made the dry conditions that fuelled the fires 35% more likely. A further rise in global warming to 2.6C, which is expected by 2100 on the current path, will make these conditions another 35% more likely again, they added. “Drought conditions are more frequently pushing into winter, increasing the chance a fire will break out during strong Santa Ana winds that can turn small ignitions into deadly infernos,” said Clair Barnes, a WWA researcher from Imperial College London. “Without a faster transition away from planet-heating fossil fuels, California will continue to get hotter, drier, and more flammable,” she added. Despite coming to power after the fires’ worst destruction, US President Donald Trump has officially begun the process of leaving the Paris climate agreement, paused all foreign climate finance, promoted fossil fuels and announced restrictions on wind power."
https://www.climatechangenews.com/2024/06/26/new-european-parliament-must-act-on-climate-change-as-a-systemic-threat/,New European Parliament must act on climate change as a systemic threat,"Europe’s first comprehensive climate risk assessment, published in May, sent a clear and unequivocal message: climate risks facing Europe have reached a critical level and urgently require decisive actions from European policymakers. Yet the recent EU parliamentary elections – which delivered significant gains for Europe’s far-right and dealt a blow to its green parties – alongside a recently leaked list of EU Council priorities for the next five years, indicate a marked U-turn in the EU’s commitment to climate action. The EU has faced a dramatically changed geopolitical situation over the past few years, marked by the upsurge of far-right political forces in several member states, growing trade-tensions with China, and a humanitarian disaster and heightened energy security risk caused by Russia’s war in Ukraine."
https://www.climatechangenews.com/2024/04/19/global-billionaires-tax-to-fight-climate-change-and-hunger-rises-up-political-agenda/,"Global billionaires tax to fight climate change, hunger rises up political agenda","The finance ministers of Brazil and France pushed this week for a tax on US-dollar billionaires of at least 2% of their wealth each year, with the $250 billion it could raise going to tackle poverty, hunger and climate change. Brazil’s Fernando Haddad and France’s Bruno Le Maire promoted their proposal at the Spring Meetings of the World Bank and International Monetary Fund (IMF) in Washington, alongside IMF head Kristalina Georgieva and Kenyan finance minister Njuguna Ndung’u. “In a world where economic activities are increasingly transnational, we have to find new and creative ways to tax these activities [and] thus direct the revenues to common global endeavours such as ending hunger and poverty and fighting climate change,” said Haddad."
https://www.climatechangenews.com/2023/03/20/ipcc-highlights-rich-nations-failure-to-help-developing-world-adapt-to-climate-change/,IPCC highlights rich nations’ failure to help developing world adapt to climate change,"“Current global financial flows for adaptation are insufficient for, and constrain implementation of, adaptation options, especially in developing countries”, the scientists report says. Wealthy governments have failed to provide $100 billion of climate finance a year they promised to developing countries by 2020, with the US responsible for the vast majority of the shortfall. Finance for adapting to climate change – rather than cutting emissions – has been particularly low."
https://www.climatechangenews.com/2023/03/07/al-jaber-urges-big-oil-to-join-fight-against-climate-changehouston-we-have-a-problem-energy-industry-grapples-with-climate-fight/,COP28 boss urges Big Oil to join fight against climate change,"“Houston, we have a problem,” Sultan al-Jaber, chief executive of Abu Dhabi National Oil Company and president-designate of the COP28 climate summit, said to loud applause from the nearly 1,000 attendees of at the CERAWeek energy conference. “Energy leaders in this room have the knowledge, experience, expertise and the resources needed to address the dual challenge of driving sustainable progress while holding back emissions,” Jaber said in his speech to an audience that included OPEC Secretary General Haitham Al Ghais and U.S. climate envoy John Kerry. Jaber and Kerry, who strode to the stage and shook Jaber’s hand when the speech ended, left the room together. The two held a meeting ahead of the conference on Sunday."
https://www.nasa.gov/missions/nisar/how-us-indian-nisar-satellite-will-offer-unique-window-on-earth/,How US-Indian NISAR Satellite Will Offer Unique Window on Earth,"The upcoming U.S.-India NISAR (NASA-ISRO Synthetic Aperture Radar) mission will observe Earth like no mission before, offering insights about our planet’s ever-changing surface. The NISAR mission is a first-of-a-kind dual-band radar satellite that will measure land deformation from earthquakes, landslides, and volcanoes, producing data for science and disaster response. It will track how much glaciers and ice sheets are advancing or retreating and it will monitor growth and loss of forests and wetlands for insights on the global carbon cycle. As diverse as NISAR’s impact will be, the mission’s winding path to launch — in a few months’ time — has also been remarkable. Paul Rosen, NISAR’s project scientist at NASA’s Jet Propulsion Laboratory in Southern California, has been there at every step. He recently discussed the mission and what sets it apart."
https://science.nasa.gov/earth/water-on-earth/nasa-study-crops-forests-responding-to-changing-rainfall-patterns/,"NASA Study: Crops, Forests Responding to Changing Rainfall Patterns","A new NASA-led study has found that how rain falls in a given year is nearly as important to the world’s vegetation as how much. Reporting Dec. 11 in Nature, the researchers showed that even in years with similar rainfall totals, plants fared differently when that water came in fewer, bigger bursts. In years with less frequent but more concentrated rainfall, plants in drier environments like the U.S. Southwest were more likely to thrive. In humid ecosystems like the Central American rainforest, vegetation tended to fare worse, possibly because it could not tolerate the longer dry spells. Scientists have previously estimated that almost half of the world’s vegetation is driven primarily by how much rain falls in a year. Less well understood is the role of day-to-day variability, said lead author Andrew Feldman, a hydrologist and ecosystem scientist at NASA’s Goddard Space Flight Center in Greenbelt, Maryland. Shifting precipitation patterns are producing stronger rainstorms — with longer dry spells in between — compared to a century ago."
https://science.nasa.gov/earth/climate-change/nasa-data-reveals-role-of-green-spaces-in-cooling-cities/,NASA Data Reveals Role of Green Spaces in Cooling Cities,"A recent study in Nature Communications used NASA satellite data to identify a major gap in global resilience to climate change: cities in the Global South have far less green space — and therefore less cooling capacity — than cities in the Global North. The terms Global North and Global South were used in the study to distinguish developed countries (mostly in the Northern Hemisphere) from developing nations (mostly in the Southern Hemisphere). Cities tend to be hotter than nearby rural areas because of the urban heat island effect. Heat-trapping dark surfaces such as sidewalks, buildings, and roads absorb heat from the Sun’s rays, which raises the temperature of the city. Extreme heat poses serious health threats for urban residents, including dehydration, heat stroke, and even death. Though not a cure-all, greenery provides shade and releases moisture into the air, cooling the surroundings. “Cities can strategically prioritize developing new green spaces in areas that have less green space,” said Christian Braneon, a climate scientist at NASA’s Goddard Institute for Space Studies in New York who was not affiliated with this study. “Satellite data can be really helpful for this.”"
https://www.nasa.gov/earth/oceans/nasa-data-helps-international-community-prepare-for-sea-level-rise/,NASA Data Helps International Community Prepare for Sea Level Rise,"Earth’s ocean is rising, disrupting livelihoods and infrastructure in coastal communities around the world. Agencies and organizations are working to prepare people as their world changes around them, and NASA information is helping these efforts. The agency’s global data is now available in the sea level section of the Earth Information Center. NASA developed the global sea level change website in collaboration with the U.S. Department of Defense, the World Bank, the U.S. Department of State, and the United Nations Development Programme. The site includes information on projected sea level rise through the year 2150 for coastlines around the world, as well as estimates of how much flooding a coastal community or region can expect to see in the next 30 years. The projections come from data collected by NASA and its partners and from computer models of ice sheets and the ocean, as well as the latest sea level assessment from the Intergovernmental Panel on Climate Change, and other sources."
https://www.nasa.gov/earth/first-greenhouse-gas-plumes-detected-with-nasa-designed-instrument/,First Greenhouse Gas Plumes Detected With NASA-Designed Instrument,"Using data from an instrument designed by NASA’s Jet Propulsion Laboratory in Southern California, the nonprofit Carbon Mapper has released the first methane and carbon dioxide detections from the Tanager-1 satellite. The detections highlight methane plumes in Pakistan and Texas, as well as a carbon dioxide plume in South Africa. The data contributes to Carbon Mapper’s goal to identify and measure greenhouse gas point-source emissions on a global scale and make that information accessible and actionable. Enabled by Carbon Mapper and built by Planet Labs PBC, Tanager-1 launched from Vandenberg Space Force Base in California on Aug. 16 and has been collecting data to verify that its imaging spectrometer, which is based on technology developed at NASA JPL, is functioning properly. Both Planet Labs PBC and JPL are members of the philanthropically funded Carbon Mapper Coalition."
